CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod
93,31,Male,Month-to-month,97.96,2546.96,No,Fiber optic,26,Yes,Mailed check
94,36,Male,Two year,67.68,4263.84,Yes,No,63,No,Mailed check
95,35,Male,Month-to-month,58.89,3474.51,No,DSL,59,Yes,Credit card
96,22,Male,Month-to-month,38.84,1553.6,No,No,40,No,Bank transfer
97,43,Male,Month-to-month,18.38,367.6,No,Fiber optic,20,No,Credit card
98,43,Male,One year,110.78,1440.14,Yes,Fiber optic,13,No,Credit card
99,40,Female,One year,84.41,1603.79,No,No,19,No,Mailed check
100,37,Female,One year,18,180,Yes,Fiber optic,10,No,Credit card
101,23,Male,Month-to-month,91.71,5961.15,Yes,No,65,Yes,Bank transfer
102,34,Female,Two year,97.29,2237.67,No,DSL,23,No,Mailed check
103,35,Male,Month-to-month,69.35,2496.6,Yes,DSL,36,Yes,Mailed check
104,30,Male,Month-to-month,120.93,2781.39,Yes,Fiber optic,23,Yes,Credit card
105,38,Male,Month-to-month,72.59,1016.26,Yes,No,14,Yes,Electronic check
106,44,Male,Month-to-month,18,198,Yes,No,11,Yes,Credit card
107,62,Female,Two year,77.78,4900.14,Yes,DSL,63,Yes,Bank transfer
108,42,Female,Two year,73.57,2207.1,Yes,DSL,30,No,Electronic check
109,43,Female,Month-to-month,43.88,2281.76,Yes,No,52,Yes,Bank transfer
110,39,Female,Two year,85.07,6039.97,Yes,Fiber optic,71,No,Mailed check
111,18,Male,One year,18,774,Yes,Fiber optic,43,No,Bank transfer
112,39,Female,Two year,99.67,2890.43,No,No,29,No,Bank transfer
113,40,Male,Month-to-month,34.27,1165.18,No,DSL,34,Yes,Bank transfer
114,69,Male,Month-to-month,30.53,610.6,No,DSL,20,Yes,Credit card
115,37,Female,Month-to-month,61.02,3783.24,No,No,62,Yes,Credit card
116,43,Male,Two year,80.15,1282.4,No,DSL,16,Yes,Bank transfer
117,39,Female,Month-to-month,70.74,778.14,No,DSL,11,Yes,Credit card
118,25,Female,Month-to-month,39.01,663.17,No,DSL,17,No,Mailed check
119,53,Female,Month-to-month,47.29,2790.11,No,DSL,59,Yes,Mailed check
120,49,Female,Month-to-month,25.34,1672.44,No,DSL,66,Yes,Electronic check
121,49,Female,One year,57.14,799.96,Yes,Fiber optic,14,No,Credit card
122,29,Male,Two year,102.63,1539.45,No,No,15,No,Credit card
123,56,Female,One year,64.85,1361.85,Yes,DSL,21,No,Bank transfer
124,23,Female,Two year,95.08,5894.96,Yes,Fiber optic,62,Yes,Electronic check
125,47,Male,Month-to-month,115.94,3478.2,No,DSL,30,No,Mailed check
126,66,Female,Month-to-month,44.42,0,Yes,DSL,0,Yes,Mailed check
127,28,Female,Month-to-month,58.47,292.35,No,Fiber optic,5,Yes,Bank transfer
128,33,Male,Month-to-month,140.99,1127.92,Yes,No,8,Yes,Credit card
129,41,Male,Month-to-month,115.55,5893.05,Yes,No,51,Yes,Bank transfer
130,33,Female,One year,18,1098,Yes,DSL,61,No,Electronic check
131,21,Male,Month-to-month,78.55,4477.35,Yes,DSL,57,Yes,Mailed check
132,40,Female,One year,65.02,1170.36,Yes,No,18,No,Electronic check
133,27,Male,Month-to-month,93.93,1127.16,Yes,DSL,12,No,Mailed check
134,45,Female,Month-to-month,38.93,1206.83,No,Fiber optic,31,No,Mailed check
135,28,Female,Month-to-month,35.61,284.88,No,DSL,8,No,Electronic check
136,58,Female,Month-to-month,41.34,1984.32,No,Fiber optic,48,Yes,Mailed check
137,30,Male,Month-to-month,44.98,1619.28,No,Fiber optic,36,No,Mailed check
138,36,Female,Month-to-month,93.54,2806.2,No,Fiber optic,30,Yes,Electronic check
139,49,Male,Month-to-month,23.66,709.8,Yes,No,30,Yes,Mailed check
140,25,Female,Month-to-month,43.21,2506.18,Yes,DSL,58,Yes,Electronic check
141,42,Female,Month-to-month,18,972,No,DSL,54,No,Bank transfer
142,55,Female,One year,100.25,1804.5,Yes,Fiber optic,18,No,Credit card
143,20,Female,One year,109.49,6788.38,No,DSL,62,Yes,Credit card
144,42,Female,Month-to-month,53.55,53.55,Yes,DSL,1,Yes,Credit card
145,43,Male,One year,54.57,2401.08,No,DSL,44,No,Mailed check
146,49,Male,One year,80.86,3396.12,Yes,DSL,42,No,Electronic check
147,25,Male,One year,116.61,0,No,No,0,Yes,Credit card
148,24,Female,Month-to-month,79.3,4758,Yes,Fiber optic,60,No,Mailed check
149,46,Female,Month-to-month,40.59,81.18,Yes,Fiber optic,2,Yes,Mailed check
150,43,Male,One year,18,774,Yes,Fiber optic,43,No,Electronic check
151,43,Female,Month-to-month,25.97,155.82,Yes,Fiber optic,6,Yes,Bank transfer
152,44,Female,Two year,67.56,2161.92,No,Fiber optic,32,No,Electronic check
153,31,Female,Two year,42.06,,Yes,DSL,8,No,Mailed check
154,42,Male,Month-to-month,71.82,2082.78,No,DSL,29,Yes,Bank transfer
155,43,Male,Month-to-month,45.65,776.05,Yes,DSL,17,Yes,Bank transfer
156,31,Male,Month-to-month,27.96,1537.8,No,No,55,Yes,Credit card
157,62,Male,Month-to-month,23.8,714,Yes,Fiber optic,30,Yes,Mailed check
158,45,Male,Month-to-month,119.68,8497.28,Yes,Fiber optic,71,No,Electronic check
159,25,Female,Month-to-month,96.11,5958.82,No,DSL,62,No,Electronic check
160,47,Female,Month-to-month,125.57,6152.93,No,Fiber optic,49,No,Credit card
161,28,Female,Month-to-month,83.9,0,Yes,Fiber optic,0,Yes,Mailed check
162,49,Female,Two year,49.95,899.1,Yes,DSL,18,No,Electronic check
163,53,Male,Month-to-month,111.32,7013.16,No,DSL,63,Yes,Electronic check
164,30,Male,Two year,63.84,3319.68,Yes,No,52,No,Electronic check
165,51,Female,Two year,72.73,363.65,Yes,Fiber optic,5,No,Bank transfer
166,44,Male,Month-to-month,63.5,1016,Yes,DSL,16,Yes,Bank transfer
167,49,Female,One year,18,810,Yes,DSL,45,No,Credit card
168,62,Female,Month-to-month,121.17,8603.07,No,DSL,71,Yes,Credit card
169,37,Female,One year,82.19,4438.26,No,Fiber optic,54,No,Electronic check
170,30,Female,Month-to-month,76.54,382.7,No,Fiber optic,5,Yes,Mailed check
171,29,Male,Month-to-month,62.84,4335.96,No,Fiber optic,69,Yes,Mailed check
172,30,Female,Month-to-month,70.72,4738.24,No,No,67,Yes,Credit card
173,39,Male,Month-to-month,44.1,1719.9,No,No,39,Yes,Mailed check
174,44,Female,Month-to-month,86.58,5627.7,No,No,65,Yes,Mailed check
175,43,Female,Month-to-month,19.25,154,Yes,DSL,8,Yes,Electronic check
176,49,Female,Month-to-month,71.51,715.1,No,Fiber optic,10,Yes,Electronic check
177,40,Female,Month-to-month,84.66,1608.54,No,Fiber optic,19,Yes,Mailed check
178,57,Male,Month-to-month,58.05,2438.1,No,Fiber optic,42,Yes,Electronic check
179,36,Female,Month-to-month,77.98,4444.86,No,No,57,No,Mailed check
180,72,Male,Month-to-month,30.3,757.5,Yes,DSL,25,Yes,Mailed check
181,47,Female,Month-to-month,31.2,1154.4,No,No,37,No,Bank transfer
182,29,Female,Two year,73.29,2565.15,Yes,Fiber optic,35,No,Mailed check
183,27,Female,Month-to-month,88.75,4792.5,No,DSL,54,No,Bank transfer
184,45,Male,One year,18,90,Yes,Fiber optic,5,Yes,Credit card
185,37,Female,Month-to-month,83.27,166.54,Yes,DSL,2,Yes,Mailed check
186,48,Female,Two year,45.99,2943.36,Yes,DSL,64,No,Credit card
187,45,Female,Month-to-month,58.25,3669.75,Yes,No,63,Yes,Electronic check
188,39,Female,Month-to-month,18.12,1032.84,No,Fiber optic,57,Yes,Bank transfer
189,29,Female,Month-to-month,35.19,2005.83,No,DSL,57,Yes,Credit card
190,21,Male,Month-to-month,98.81,1679.77,No,No,17,Yes,Electronic check
191,34,Male,Month-to-month,66.15,1455.3,Yes,DSL,22,Yes,Mailed check
192,50,Female,Month-to-month,51.6,1444.8,Yes,DSL,28,Yes,Bank transfer
193,42,Female,Two year,60.92,1340.24,No,DSL,22,No,Mailed check
194,25,Male,Month-to-month,82.12,2874.2,Yes,DSL,35,No,Credit card
195,42,Female,Month-to-month,80.42,5548.98,No,DSL,69,Yes,Mailed check
196,44,Male,One year,62.37,,Yes,No,5,No,Electronic check
197,29,Female,Month-to-month,103.25,3407.25,No,No,33,Yes,Credit card
198,41,Female,Two year,98.97,4255.71,Yes,No,43,Yes,Bank transfer
199,40,Male,Month-to-month,79.47,3417.21,No,Fiber optic,43,Yes,Electronic check
200,26,Female,One year,66.91,1739.66,Yes,Fiber optic,26,No,Electronic check
201,44,Male,Month-to-month,88.01,4488.51,No,Fiber optic,51,Yes,Bank transfer
202,46,Male,Two year,76,3116,No,Fiber optic,41,No,Electronic check
203,52,Male,One year,102.13,2451.12,Yes,Fiber optic,24,No,Credit card
204,52,Female,Month-to-month,96.48,3666.24,Yes,No,38,Yes,Mailed check
205,23,Male,Month-to-month,29.36,1115.68,No,DSL,38,No,Bank transfer
206,28,Male,Month-to-month,26.99,296.89,No,DSL,11,Yes,Bank transfer
207,46,Female,Two year,40.46,404.6,Yes,DSL,10,No,Credit card
208,46,Female,Month-to-month,99.16,198.32,No,Fiber optic,2,Yes,Credit card
209,46,Female,Month-to-month,18,378,Yes,Fiber optic,21,Yes,Bank transfer
210,80,Female,Month-to-month,78.82,236.46,No,Fiber optic,3,Yes,Bank transfer
211,46,Female,Month-to-month,77.69,543.83,Yes,DSL,7,Yes,Bank transfer
212,53,Female,Month-to-month,105.69,1373.97,No,Fiber optic,13,Yes,Bank transfer
213,51,Male,Two year,71.31,927.03,No,Fiber optic,13,Yes,Credit card
214,47,Female,Month-to-month,18,270,No,Fiber optic,15,Yes,Mailed check
215,36,Male,Two year,31.42,974.02,Yes,No,31,No,Bank transfer
216,49,Female,Month-to-month,23.63,1488.69,No,DSL,63,Yes,Electronic check
217,30,Male,Month-to-month,46.17,692.55,No,DSL,15,Yes,Electronic check
218,37,Male,Month-to-month,58.6,2988.6,No,DSL,51,Yes,Electronic check
219,34,Female,Month-to-month,24.21,435.78,No,DSL,18,Yes,Credit card
220,40,Female,Two year,116.47,7919.96,Yes,DSL,68,No,Bank transfer
221,67,Male,Two year,18.62,204.82,Yes,DSL,11,No,Credit card
222,18,Female,Month-to-month,112.11,448.44,No,Fiber optic,4,Yes,Electronic check
223,48,Female,Month-to-month,106.48,4365.68,No,DSL,41,Yes,Mailed check
224,20,Male,Month-to-month,96.44,1543.04,No,No,16,No,Electronic check
225,34,Male,Two year,40.72,2891.12,Yes,DSL,71,No,Bank transfer
226,53,Male,Two year,76.99,692.91,Yes,DSL,9,No,Mailed check
227,40,Female,One year,20.29,304.35,No,DSL,15,No,Mailed check
228,27,Female,Month-to-month,96.88,1453.2,No,No,15,Yes,Mailed check
229,31,Female,Month-to-month,62.41,2558.81,No,Fiber optic,41,No,Electronic check
230,48,Female,Month-to-month,50.67,101.34,No,Fiber optic,2,Yes,Credit card
231,31,Male,Month-to-month,22.17,487.74,No,DSL,22,Yes,Electronic check
232,42,Female,Month-to-month,18,486,Yes,Fiber optic,27,No,Bank transfer
233,40,Male,Month-to-month,28.65,1260.6,Yes,Fiber optic,44,No,Mailed check
234,32,Female,Month-to-month,103.95,6964.65,Yes,DSL,67,No,Credit card
235,65,Female,Two year,50.9,1170.7,Yes,Fiber optic,23,No,Credit card
236,47,Male,One year,59.07,1063.26,No,DSL,18,No,Bank transfer
237,18,Female,Month-to-month,87.94,3429.66,No,DSL,39,No,Bank transfer
238,42,Female,Month-to-month,128.2,5769,No,Fiber optic,45,No,Bank transfer
239,32,Male,Month-to-month,111.38,4343.82,No,No,39,Yes,Mailed check
240,50,Female,One year,30.97,1889.17,Yes,Fiber optic,61,Yes,Mailed check
241,30,Male,One year,18,306,No,DSL,17,No,Bank transfer
242,38,Male,One year,147.59,1623.49,Yes,DSL,11,No,Mailed check
243,46,Male,One year,144.41,1877.33,No,No,13,No,Electronic check
244,50,Male,Month-to-month,71.6,4296,No,DSL,60,No,Credit card
245,25,Female,Month-to-month,20.53,225.83,No,Fiber optic,11,Yes,Mailed check
246,35,Female,Month-to-month,98.71,2566.46,No,Fiber optic,26,Yes,Credit card
247,34,Female,Month-to-month,61.22,306.1,No,Fiber optic,5,Yes,Electronic check
248,32,Male,One year,61.05,1953.6,No,DSL,32,No,Mailed check
249,61,Female,Month-to-month,96.31,4719.19,No,DSL,49,Yes,Bank transfer
250,44,Female,Month-to-month,76.7,843.7,No,Fiber optic,11,Yes,Bank transfer
251,24,Female,Month-to-month,23.5,1316,No,No,56,Yes,Electronic check
252,51,Female,Two year,53.63,2788.76,No,DSL,52,No,Electronic check
253,65,Male,Month-to-month,88.14,1057.68,No,Fiber optic,12,No,Mailed check
254,52,Male,One year,82.86,5883.06,Yes,Fiber optic,71,Yes,Electronic check
255,21,Female,Month-to-month,74.17,148.34,No,Fiber optic,2,Yes,Credit card
256,34,Male,Month-to-month,97.67,6153.21,No,Fiber optic,63,Yes,Bank transfer
257,55,Female,Month-to-month,52.34,2983.38,No,Fiber optic,57,Yes,Mailed check
258,31,Female,One year,71.25,213.75,Yes,No,3,Yes,Electronic check
259,45,Female,Month-to-month,18,792,Yes,DSL,44,Yes,Credit card
260,49,Male,Two year,49.26,3201.9,Yes,No,65,Yes,Bank transfer
261,28,Female,Month-to-month,91.74,3210.9,Yes,Fiber optic,35,Yes,Bank transfer
262,39,Male,Month-to-month,51.34,1129.48,Yes,Fiber optic,22,Yes,Mailed check
263,18,Male,Two year,48.68,876.24,No,DSL,18,Yes,Mailed check
264,27,Female,Month-to-month,28.55,1113.45,No,Fiber optic,39,Yes,Mailed check
265,36,Male,Month-to-month,100.12,7108.52,Yes,DSL,71,Yes,Mailed check
266,25,Male,One year,84.2,1263,Yes,DSL,15,No,Electronic check
267,59,Female,Month-to-month,93.89,5351.73,No,DSL,57,Yes,Mailed check
268,22,Male,One year,18,306,Yes,No,17,Yes,Electronic check
269,34,Male,Month-to-month,59.38,2078.3,No,Fiber optic,35,Yes,Credit card
270,41,Female,Month-to-month,55.2,,No,Fiber optic,23,No,Credit card
271,57,Female,Month-to-month,55.18,0,No,Fiber optic,0,Yes,Bank transfer
272,22,Male,Two year,43.44,0,Yes,No,0,No,Credit card
273,53,Female,Month-to-month,52.89,3332.07,No,No,63,Yes,Credit card
274,40,Female,One year,94.74,5779.14,No,DSL,61,No,Mailed check
275,28,Male,Two year,18,630,Yes,DSL,35,Yes,Mailed check
276,45,Male,Month-to-month,127.21,2162.57,No,Fiber optic,17,Yes,Mailed check
277,42,Female,Month-to-month,81.93,1228.95,Yes,DSL,15,No,Credit card
278,32,Male,Month-to-month,63.52,1016.32,No,No,16,Yes,Mailed check
279,40,Female,Month-to-month,96.74,2225.02,No,DSL,23,No,Mailed check
280,35,Female,Month-to-month,18,1206,Yes,Fiber optic,67,Yes,Mailed check
281,41,Male,One year,41.74,41.74,Yes,Fiber optic,1,Yes,Mailed check
282,47,Male,Two year,60.76,546.84,No,DSL,9,No,Electronic check
283,59,Female,Two year,112.79,5865.08,Yes,DSL,52,No,Mailed check
284,25,Female,Two year,63.37,,Yes,DSL,50,No,Credit card
285,65,Female,Two year,80.75,5491,Yes,Fiber optic,68,Yes,Mailed check
286,18,Female,Month-to-month,44.36,576.68,No,DSL,13,Yes,Mailed check
287,38,Male,One year,82.04,5332.6,Yes,Fiber optic,65,Yes,Electronic check
288,47,Female,Two year,123.7,6432.4,Yes,Fiber optic,52,Yes,Mailed check
289,43,Male,Month-to-month,99.84,6289.92,No,Fiber optic,63,Yes,Mailed check
290,32,Male,Two year,62.15,4412.65,Yes,DSL,71,No,Bank transfer
291,37,Female,Month-to-month,88.64,4254.72,Yes,DSL,48,Yes,Mailed check
292,34,Male,One year,85.21,5197.81,No,Fiber optic,61,Yes,Credit card
293,32,Male,One year,82.73,2978.28,Yes,DSL,36,Yes,Bank transfer
294,50,Female,Two year,103.92,,Yes,Fiber optic,48,No,Bank transfer
295,44,Male,Month-to-month,103.66,,Yes,DSL,67,Yes,Credit card
296,31,Male,One year,60.55,1937.6,Yes,Fiber optic,32,No,Credit card
297,50,Female,Month-to-month,87.47,1836.87,No,Fiber optic,21,No,Mailed check
298,43,Female,Month-to-month,51.59,3559.71,Yes,Fiber optic,69,Yes,Mailed check
299,49,Female,One year,32.69,1046.08,Yes,No,32,No,Mailed check
300,47,Female,Month-to-month,55.57,1500.39,Yes,DSL,27,Yes,Bank transfer
301,30,Female,One year,62.33,186.99,Yes,No,3,Yes,Credit card
302,33,Female,Month-to-month,18,1170,Yes,DSL,65,Yes,Electronic check
303,48,Female,Month-to-month,95.11,4565.28,No,DSL,48,Yes,Electronic check
304,47,Male,One year,18,180,No,DSL,10,No,Mailed check
305,39,Male,Month-to-month,150,5100,Yes,Fiber optic,34,No,Credit card
306,41,Female,Month-to-month,117.57,4467.66,No,Fiber optic,38,Yes,Mailed check
307,55,Male,Two year,55.86,502.74,No,Fiber optic,9,No,Bank transfer
308,32,Male,Month-to-month,65.33,4638.43,No,Fiber optic,71,Yes,Bank transfer
309,46,Female,One year,75.6,5140.8,Yes,No,68,No,Electronic check
310,37,Male,Month-to-month,44.38,976.36,Yes,Fiber optic,22,Yes,Credit card
311,37,Female,Month-to-month,71.74,2367.42,Yes,DSL,33,Yes,Credit card
312,53,Male,Month-to-month,59.96,1858.76,No,DSL,31,Yes,Bank transfer
313,49,Female,Month-to-month,61.7,925.5,Yes,DSL,15,Yes,Credit card
314,49,Male,Month-to-month,71.35,4780.45,No,DSL,67,Yes,Electronic check
315,55,Male,Month-to-month,19.03,1008.59,Yes,DSL,53,Yes,Mailed check
316,40,Male,Month-to-month,66.38,1792.26,No,DSL,27,Yes,Credit card
317,48,Female,Month-to-month,70.72,4172.48,Yes,No,59,Yes,Credit card
318,36,Male,Month-to-month,69.51,4101.09,No,Fiber optic,59,Yes,Electronic check
319,43,Male,Month-to-month,57.45,2470.35,Yes,No,43,Yes,Electronic check
320,38,Female,Month-to-month,104.83,104.83,No,No,1,Yes,Mailed check
321,41,Female,Two year,52.62,1157.64,Yes,Fiber optic,22,Yes,Electronic check
322,47,Male,One year,72.96,3283.2,Yes,DSL,45,No,Bank transfer
323,30,Male,One year,110.41,5851.73,No,Fiber optic,53,Yes,Bank transfer
324,65,Male,Month-to-month,62.22,4355.4,No,DSL,70,Yes,Mailed check
325,27,Male,Two year,72.51,580.08,Yes,DSL,8,No,Mailed check
326,25,Female,One year,61.63,4252.47,Yes,DSL,69,Yes,Credit card
327,53,Male,One year,108.31,4657.33,Yes,DSL,43,Yes,Bank transfer
328,49,Male,Month-to-month,55.98,615.78,No,Fiber optic,11,Yes,Bank transfer
329,47,Female,Two year,109.92,3407.52,Yes,No,31,No,Bank transfer
330,47,Male,Two year,61.37,2025.21,No,DSL,33,Yes,Bank transfer
331,39,Male,Two year,34.92,1117.44,Yes,DSL,32,No,Electronic check
332,29,Male,Month-to-month,88.78,5593.14,Yes,DSL,63,Yes,Bank transfer
333,40,Female,Month-to-month,54.34,2553.98,No,Fiber optic,47,Yes,Mailed check
334,31,Female,Month-to-month,86.72,1300.8,Yes,DSL,15,Yes,Credit card
335,51,Male,Month-to-month,18,882,Yes,No,49,Yes,Credit card
336,38,Male,Two year,65.18,1433.96,Yes,DSL,22,No,Mailed check
337,30,Female,Month-to-month,48.91,1222.75,No,No,25,Yes,Bank transfer
338,36,Male,Month-to-month,27.79,1472.87,No,DSL,53,Yes,Electronic check
339,44,Male,Month-to-month,45.64,1962.52,Yes,Fiber optic,43,Yes,Bank transfer
340,33,Female,Month-to-month,44.92,1617.12,No,DSL,36,No,Bank transfer
341,30,Female,Month-to-month,63.32,506.56,Yes,Fiber optic,8,Yes,Mailed check
342,42,Female,One year,18,216,Yes,DSL,12,No,Credit card
343,42,Male,Month-to-month,76.07,4488.13,Yes,No,59,Yes,Credit card
344,33,Male,Month-to-month,112.82,112.82,No,DSL,1,No,Credit card
345,34,Male,Month-to-month,74.83,4414.97,No,Fiber optic,59,Yes,Mailed check
346,42,Male,Month-to-month,93.31,5225.36,Yes,DSL,56,Yes,Electronic check
347,22,Female,Month-to-month,103.31,4339.02,No,DSL,42,Yes,Electronic check
348,23,Male,One year,108.28,,No,DSL,18,Yes,Credit card
