CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,Churn,AverageMonthlyCharges,CustomerLifetimeValue,TenureGroup,TotalChargesPerMonth,Electronic,MonthlyCharges_Tenure,Internet_TechSupport,LogTotalCharges
16,33,Male,Month-to-month,51.06,3012.54,No,DSL,59,Yes,Credit card,No,,3012.54,Long-term,51.06,Electronic,3012.54,0,8.010538855719057
17,27,Female,Month-to-month,18.0,396.0,No,Fiber optic,22,Yes,Bank transfer,No,18.0,396.0,Intermediate,18.0,Electronic,396.0,0,5.981414211254481
18,43,Female,One year,88.09,880.9,Yes,DSL,10,No,Electronic check,No,88.09,880.9,New,88.09,Non-Electronic,880.9000000000001,1,6.78094411211575
19,29,Female,Month-to-month,25.91,1502.78,No,DSL,58,Yes,Credit card,No,25.91,1502.78,Long-term,25.91,Electronic,1502.78,0,7.315072005120438
20,23,Male,Month-to-month,28.33,934.89,Yes,Fiber optic,33,Yes,Bank transfer,No,28.33,934.89,Long-term,28.33,Electronic,934.89,1,6.8404288753089055
21,57,Female,Month-to-month,89.08,534.48,Yes,DSL,6,Yes,Electronic check,No,89.08,534.48,New,89.08,Non-Electronic,534.48,1,6.281294311617222
22,37,Male,Month-to-month,52.85,2272.55,Yes,Fiber optic,43,Yes,Bank transfer,No,52.85,2272.55,Long-term,52.85,Electronic,2272.55,1,7.728657828009809
23,40,Male,Month-to-month,97.12,6118.56,No,DSL,63,No,Bank transfer,Yes,97.12,6118.56,Long-term,97.12,Electronic,6118.56,0,8.71908205370272
24,22,Female,One year,107.36,2361.92,No,DSL,22,Yes,Bank transfer,No,107.36,2361.92,Intermediate,107.36,Electronic,2361.92,0,7.767230126581688
25,33,Male,Month-to-month,42.43,2418.51,No,Fiber optic,57,Yes,Bank transfer,No,42.43,2418.51,Long-term,42.43000000000001,Electronic,2418.5099999999998,0,7.790906927048784
26,41,Female,Two year,92.76,1762.44,Yes,DSL,19,Yes,Electronic check,No,92.76,1762.44,Intermediate,92.76,Non-Electronic,1762.44,1,7.474454491553772
27,26,Male,Two year,38.56,1002.56,Yes,Fiber optic,26,No,Mailed check,No,38.56,1002.56,Long-term,38.559999999999995,Non-Electronic,1002.5600000000001,1,6.910312007763827
28,44,Female,One year,143.16,8446.44,No,Fiber optic,59,Yes,Bank transfer,No,143.16,8446.44,Long-term,143.16,Electronic,8446.44,0,9.041500329803544
29,32,Male,Month-to-month,40.75,285.25,No,No,7,Yes,Electronic check,No,40.75,285.25,New,40.75,Non-Electronic,285.25,0,5.653365988742185
30,36,Male,One year,100.91,6660.06,No,DSL,66,No,Bank transfer,No,100.91,6660.06,Long-term,100.91000000000001,Electronic,6660.0599999999995,0,8.803883772502862
31,32,Female,Month-to-month,94.53,94.53,No,Fiber optic,1,No,Credit card,Yes,94.53,94.53,New,94.53,Electronic,94.53,0,4.548917244437293
32,62,Male,Month-to-month,76.06,1597.26,Yes,Fiber optic,21,Yes,Credit card,No,76.06,1597.26,Intermediate,76.06,Electronic,1597.26,1,7.376044940223537
33,39,Female,One year,41.53,,Yes,DSL,69,Yes,Mailed check,No,41.53,2865.57,Long-term,,Non-Electronic,2865.57,1,
34,27,Male,Month-to-month,59.7,2089.5,No,Fiber optic,35,Yes,Electronic check,No,59.7,2089.5,Long-term,59.7,Non-Electronic,2089.5,0,7.64468008188797
35,49,Male,Two year,18.0,414.0,Yes,Fiber optic,23,No,Credit card,No,18.0,414.0,Intermediate,18.0,Electronic,414.0,1,6.025865973825314
36,25,Male,Month-to-month,72.85,801.35,No,DSL,11,Yes,Electronic check,No,72.85,801.35,New,72.85000000000001,Non-Electronic,801.3499999999999,0,6.686297805439584
37,42,Female,One year,77.24,1622.04,Yes,No,21,No,Credit card,No,77.24,1622.04,Intermediate,77.24,Electronic,1622.04,0,7.391439895283737
38,18,Female,Month-to-month,69.67,1532.74,No,Fiber optic,22,No,Electronic check,No,69.67,1532.74,Intermediate,69.67,Non-Electronic,1532.74,0,7.334812262400344
39,24,Female,Two year,18.0,1116.0,No,DSL,62,No,Bank transfer,No,18.0,1116.0,Long-term,18.0,Electronic,1116.0,0,7.017506142941256
40,42,Female,Month-to-month,20.7,600.3,No,DSL,29,Yes,Bank transfer,No,20.7,600.3,Long-term,20.7,Electronic,600.3,0,6.3974295302577975
41,48,Female,Month-to-month,38.82,698.76,No,Fiber optic,18,No,Credit card,No,38.82,698.76,Intermediate,38.82,Electronic,698.76,0,6.549307335637029
42,42,Male,Month-to-month,75.21,1880.25,Yes,DSL,25,Yes,Mailed check,No,75.21,1880.25,Long-term,75.21,Non-Electronic,1880.2499999999998,1,7.539160025706512
43,38,Male,Month-to-month,75.13,751.3,No,DSL,10,Yes,Credit card,No,75.13,751.3,New,75.13,Electronic,751.3,0,6.621805039375115
44,36,Female,Month-to-month,59.04,1121.76,Yes,DSL,19,Yes,Credit card,No,59.04,1121.76,Intermediate,59.04,Electronic,1121.76,1,7.022654159458657
45,22,Male,Month-to-month,87.23,4797.65,No,DSL,55,Yes,Mailed check,Yes,87.23,4797.65,Long-term,87.22999999999999,Non-Electronic,4797.650000000001,0,8.475881493677598
46,31,Male,Month-to-month,29.08,1279.52,No,Fiber optic,44,Yes,Bank transfer,No,29.08,1279.52,Long-term,29.08,Electronic,1279.52,0,7.15424028658358
47,34,Male,Month-to-month,86.36,5786.12,No,DSL,67,Yes,Bank transfer,Yes,86.36,5786.12,Long-term,86.36,Electronic,5786.12,0,8.663217225037572
48,52,Male,Month-to-month,81.62,3754.52,No,DSL,46,Yes,Credit card,Yes,81.62,3754.52,Long-term,81.62,Electronic,3754.5200000000004,0,8.230715726466755
49,44,Female,Two year,78.21,4457.97,Yes,DSL,57,No,Electronic check,No,78.21,4457.97,Long-term,78.21000000000001,Non-Electronic,4457.969999999999,1,8.40244878444807
50,18,Male,One year,58.63,527.67,Yes,Fiber optic,9,No,Credit card,No,,527.67,New,58.629999999999995,Electronic,527.6700000000001,1,6.268471088312343
51,43,Female,One year,129.08,2710.68,No,Fiber optic,21,No,Bank transfer,No,129.08,2710.68,Intermediate,129.07999999999998,Electronic,2710.6800000000003,0,7.904954804907184
52,35,Female,One year,82.26,5758.2,Yes,Fiber optic,70,No,Electronic check,No,82.26,5758.2,Long-term,82.25999999999999,Non-Electronic,5758.200000000001,1,8.658380204851637
53,31,Male,Month-to-month,31.11,715.53,No,No,23,No,Mailed check,No,31.11,715.53,Intermediate,31.11,Non-Electronic,715.53,0,6.573023526838695
54,47,Female,Month-to-month,73.69,4789.85,Yes,DSL,65,Yes,Bank transfer,No,73.69,4789.85,Long-term,73.69000000000001,Electronic,4789.849999999999,1,8.474254374674546
55,52,Male,Month-to-month,91.34,5480.4,No,DSL,60,Yes,Mailed check,Yes,91.34,5480.4,Long-term,91.33999999999999,Non-Electronic,5480.400000000001,0,8.608933369978953
56,51,Male,Two year,44.42,266.52,No,Fiber optic,6,Yes,Bank transfer,No,44.42,266.52,New,44.419999999999995,Electronic,266.52,0,5.5854492876943365
57,29,Male,Two year,103.12,7321.52,Yes,DSL,71,Yes,Bank transfer,No,103.12,7321.52,Long-term,103.12,Electronic,7321.52,1,8.898573235672247
58,36,Female,Month-to-month,78.37,2899.69,No,DSL,37,Yes,Electronic check,No,78.37,2899.69,Long-term,78.37,Non-Electronic,2899.69,0,7.972359113708998
59,43,Female,Month-to-month,18.0,360.0,No,DSL,20,No,Bank transfer,No,18.0,360.0,Intermediate,18.0,Electronic,360.0,0,5.886104031450156
60,51,Female,Month-to-month,75.49,528.43,Yes,Fiber optic,7,Yes,Credit card,No,75.49,528.43,New,75.49,Electronic,528.43,1,6.269910346206847
61,34,Male,Month-to-month,50.79,1371.33,No,Fiber optic,27,Yes,Mailed check,No,50.79,1371.33,Long-term,50.79,Non-Electronic,1371.33,0,7.223536350817483
62,37,Male,Month-to-month,83.8,4441.4,Yes,No,53,Yes,Bank transfer,No,,4441.4,Long-term,83.8,Electronic,4441.4,0,8.39872492104016
63,26,Male,Month-to-month,98.05,2941.5,Yes,Fiber optic,30,No,Credit card,No,98.05,2941.5,Long-term,98.05,Electronic,2941.5,1,7.986674934304511
64,25,Female,Two year,71.83,2873.2,No,Fiber optic,40,No,Mailed check,No,71.83,2873.2,Long-term,71.83,Non-Electronic,2873.2,0,7.963181670200647
65,49,Male,Month-to-month,123.28,4438.08,No,Fiber optic,36,Yes,Credit card,Yes,123.28,4438.08,Long-term,123.28,Electronic,4438.08,0,8.39797712946797
66,56,Male,Two year,58.75,2173.75,No,DSL,37,No,Bank transfer,No,58.75,2173.75,Long-term,58.75,Electronic,2173.75,0,7.684209065668493
67,39,Female,One year,86.87,4343.5,Yes,DSL,50,Yes,Credit card,No,86.87,4343.5,Long-term,86.87,Electronic,4343.5,1,8.376435753699976
68,52,Female,One year,93.17,3354.12,Yes,No,36,No,Mailed check,No,93.17,3354.12,Long-term,93.17,Non-Electronic,3354.12,0,8.117944719918443
69,44,Female,One year,61.59,1847.7,No,DSL,30,No,Mailed check,No,61.59,1847.7,Long-term,61.59,Non-Electronic,1847.7,0,7.521696901361107
70,32,Male,One year,92.26,,No,DSL,61,No,Mailed check,No,92.26,5627.86,Long-term,,Non-Electronic,5627.860000000001,0,
71,44,Male,One year,44.19,751.23,No,DSL,17,No,Bank transfer,No,44.19,751.23,Intermediate,44.19,Electronic,751.23,0,6.621711863198865
72,58,Male,One year,50.21,251.05,No,DSL,5,No,Electronic check,No,50.21,251.05,New,50.21,Non-Electronic,251.05,0,5.5256521224807145
73,39,Female,Month-to-month,19.06,152.48,No,DSL,8,Yes,Credit card,No,19.06,152.48,New,19.06,Electronic,152.48,0,5.027033439905892
74,58,Female,Two year,73.45,734.5,Yes,Fiber optic,10,No,Mailed check,No,73.45,734.5,New,73.45,Non-Electronic,734.5,1,6.599189995613932
75,18,Female,One year,76.38,76.38,Yes,DSL,1,No,Mailed check,No,76.38,76.38,New,76.38,Non-Electronic,76.38,1,4.3357208817973705
76,49,Female,One year,106.27,,Yes,DSL,28,No,Electronic check,No,106.27,2975.56,Long-term,,Non-Electronic,2975.56,1,
77,41,Male,Two year,92.69,4634.5,Yes,No,50,Yes,Mailed check,No,,4634.5,Long-term,92.69,Non-Electronic,4634.5,0,8.441283597315888
78,36,Male,Month-to-month,55.03,3742.04,No,Fiber optic,68,Yes,Mailed check,No,,3742.04,Long-term,55.03,Non-Electronic,3742.04,0,8.227386196247775
79,41,Male,Month-to-month,23.76,522.72,No,Fiber optic,22,Yes,Bank transfer,No,23.76,522.72,Intermediate,23.76,Electronic,522.72,0,6.25904594785276
80,18,Male,Month-to-month,80.15,,No,Fiber optic,6,Yes,Electronic check,Yes,80.15,480.9,New,,Non-Electronic,480.90000000000003,0,
81,37,Male,Month-to-month,103.88,5713.4,Yes,DSL,55,Yes,Mailed check,No,103.88,5713.4,Long-term,103.88,Non-Electronic,5713.4,1,8.650569572027019
82,44,Male,Two year,91.43,5577.23,Yes,Fiber optic,61,No,Bank transfer,No,91.43,5577.23,Long-term,91.42999999999999,Electronic,5577.2300000000005,1,8.626447516349646
83,57,Male,Month-to-month,102.96,1441.44,No,Fiber optic,14,No,Bank transfer,Yes,102.96,1441.44,Intermediate,102.96000000000001,Electronic,1441.4399999999998,0,7.27339789290313
84,33,Male,Month-to-month,57.58,2994.16,No,Fiber optic,52,Yes,Bank transfer,No,57.58,2994.16,Long-term,57.58,Electronic,2994.16,0,8.004419003765458
85,30,Female,Month-to-month,48.67,2044.14,No,Fiber optic,42,Yes,Bank transfer,No,48.67,2044.14,Long-term,48.67,Electronic,2044.14,0,7.622732442128731
86,33,Female,Month-to-month,39.21,1333.14,No,Fiber optic,34,Yes,Electronic check,No,39.21,1333.14,Long-term,39.21,Non-Electronic,1333.14,0,7.1952923409204015
87,50,Male,One year,63.04,819.52,Yes,Fiber optic,13,No,Electronic check,No,63.04,819.52,Intermediate,63.04,Non-Electronic,819.52,1,6.70871880301116
88,43,Female,Two year,62.25,4233.0,Yes,Fiber optic,68,No,Bank transfer,No,62.25,4233.0,Long-term,62.25,Electronic,4233.0,1,8.350666240520924
89,33,Male,Month-to-month,72.23,3467.04,Yes,Fiber optic,48,No,Electronic check,No,72.23,3467.04,Long-term,72.23,Non-Electronic,3467.04,1,8.151056482970647
90,46,Male,Month-to-month,60.47,1027.99,No,Fiber optic,17,Yes,Credit card,No,60.47,1027.99,Intermediate,60.47,Electronic,1027.99,0,6.935360718341338
91,41,Female,Month-to-month,60.32,3016.0,Yes,Fiber optic,50,No,Credit card,No,60.32,3016.0,Long-term,60.32,Electronic,3016.0,1,8.011686729127847
92,51,Male,Month-to-month,37.82,0.0,No,DSL,0,Yes,Bank transfer,No,0.0,0.0,,0.0,Electronic,0.0,0,
93,31,Male,Month-to-month,97.96,2546.96,No,Fiber optic,26,Yes,Mailed check,Yes,97.96,2546.96,Long-term,97.96000000000001,Non-Electronic,2546.96,0,7.842655770105449
94,36,Male,Two year,67.68,4263.84,Yes,No,63,No,Mailed check,No,67.68,4263.84,Long-term,67.68,Non-Electronic,4263.84,0,8.3579254416895
95,35,Male,Month-to-month,58.89,3474.51,No,DSL,59,Yes,Credit card,No,58.89,3474.51,Long-term,58.89,Electronic,3474.51,0,8.1532087408622
96,22,Male,Month-to-month,38.84,1553.6,No,No,40,No,Bank transfer,No,38.84,1553.6,Long-term,38.839999999999996,Electronic,1553.6000000000001,0,7.34833009753706
97,43,Male,Month-to-month,18.38,367.6,No,Fiber optic,20,No,Credit card,No,18.38,367.6,Intermediate,18.380000000000003,Electronic,367.59999999999997,0,5.906995390481532
98,43,Male,One year,110.78,1440.14,Yes,Fiber optic,13,No,Credit card,No,110.78,1440.14,Intermediate,110.78,Electronic,1440.14,1,7.272495610066494
99,40,Female,One year,84.41,1603.79,No,No,19,No,Mailed check,No,84.41,1603.79,Intermediate,84.41,Non-Electronic,1603.79,0,7.380124857162069
100,37,Female,One year,18.0,180.0,Yes,Fiber optic,10,No,Credit card,No,18.0,180.0,New,18.0,Electronic,180.0,1,5.19295685089021
101,23,Male,Month-to-month,91.71,5961.15,Yes,No,65,Yes,Bank transfer,No,91.71,5961.15,Long-term,91.71,Electronic,5961.15,0,8.69301869446649
102,34,Female,Two year,97.29,2237.67,No,DSL,23,No,Mailed check,No,97.29,2237.67,Intermediate,97.29,Non-Electronic,2237.67,0,7.713190424916486
103,35,Male,Month-to-month,69.35,2496.6,Yes,DSL,36,Yes,Mailed check,No,,2496.6,Long-term,69.35,Non-Electronic,2496.6,1,7.822685085216951
104,30,Male,Month-to-month,120.93,2781.39,Yes,Fiber optic,23,Yes,Credit card,No,120.93,2781.39,Intermediate,120.92999999999999,Electronic,2781.3900000000003,1,7.930706081726334
105,38,Male,Month-to-month,72.59,1016.26,Yes,No,14,Yes,Electronic check,No,72.59,1016.26,Intermediate,72.59,Non-Electronic,1016.26,0,6.923884500912008
106,44,Male,Month-to-month,18.0,198.0,Yes,No,11,Yes,Credit card,No,18.0,198.0,New,18.0,Electronic,198.0,0,5.288267030694535
107,62,Female,Two year,77.78,4900.14,Yes,DSL,63,Yes,Bank transfer,No,77.78,4900.14,Long-term,77.78,Electronic,4900.14,1,8.497019055119134
108,42,Female,Two year,73.57,2207.1,Yes,DSL,30,No,Electronic check,No,73.57,2207.1,Long-term,73.57,Non-Electronic,2207.1,1,7.699434715606328
109,43,Female,Month-to-month,43.88,2281.76,Yes,No,52,Yes,Bank transfer,No,43.88,2281.76,Long-term,43.88,Electronic,2281.76,0,7.732702353988457
110,39,Female,Two year,85.07,6039.97,Yes,Fiber optic,71,No,Mailed check,No,85.07,6039.97,Long-term,85.07000000000001,Non-Electronic,6039.969999999999,1,8.706154324029109
111,18,Male,One year,18.0,774.0,Yes,Fiber optic,43,No,Bank transfer,No,18.0,774.0,Long-term,18.0,Electronic,774.0,1,6.651571873589727
112,39,Female,Two year,99.67,2890.43,No,No,29,No,Bank transfer,No,99.67,2890.43,Long-term,99.66999999999999,Electronic,2890.43,0,7.9691605589658385
113,40,Male,Month-to-month,34.27,1165.18,No,DSL,34,Yes,Bank transfer,No,34.27,1165.18,Long-term,34.27,Electronic,1165.18,0,7.060630860502679
114,69,Male,Month-to-month,30.53,610.6,No,DSL,20,Yes,Credit card,No,30.53,610.6,Intermediate,30.53,Electronic,610.6,0,6.414442080300778
115,37,Female,Month-to-month,61.02,3783.24,No,No,62,Yes,Credit card,No,61.02,3783.24,Long-term,61.019999999999996,Electronic,3783.2400000000002,0,8.238336064333614
116,43,Male,Two year,80.15,1282.4,No,DSL,16,Yes,Bank transfer,No,80.15,1282.4,Intermediate,80.15,Electronic,1282.4,0,7.156488601295344
117,39,Female,Month-to-month,70.74,778.14,No,DSL,11,Yes,Credit card,No,,778.14,New,70.74,Electronic,778.14,0,6.6569064565757055
118,25,Female,Month-to-month,39.01,663.17,No,DSL,17,No,Mailed check,No,39.01,663.17,Intermediate,39.01,Non-Electronic,663.17,0,6.497031367574781
119,53,Female,Month-to-month,47.29,2790.11,No,DSL,59,Yes,Mailed check,No,47.29,2790.11,Long-term,47.29,Non-Electronic,2790.11,0,7.933836300561504
120,49,Female,Month-to-month,25.34,1672.44,No,DSL,66,Yes,Electronic check,No,25.34,1672.44,Long-term,25.34,Non-Electronic,1672.44,0,7.422038916919418
121,49,Female,One year,57.14,799.96,Yes,Fiber optic,14,No,Credit card,No,,799.96,Intermediate,57.14,Electronic,799.96,1,6.684561726417885
122,29,Male,Two year,102.63,1539.45,No,No,15,No,Credit card,No,102.63,1539.45,Intermediate,102.63000000000001,Electronic,1539.4499999999998,0,7.339180488759833
123,56,Female,One year,64.85,1361.85,Yes,DSL,21,No,Bank transfer,No,64.85,1361.85,Intermediate,64.85,Electronic,1361.85,1,7.216599348485876
124,23,Female,Two year,95.08,5894.96,Yes,Fiber optic,62,Yes,Electronic check,No,95.08,5894.96,Long-term,95.08,Non-Electronic,5894.96,1,8.681853027537084
125,47,Male,Month-to-month,115.94,3478.2,No,DSL,30,No,Mailed check,Yes,115.94,3478.2,Long-term,115.94,Non-Electronic,3478.2,0,8.154270197573743
126,66,Female,Month-to-month,44.42,0.0,Yes,DSL,0,Yes,Mailed check,No,0.0,0.0,,0.0,Non-Electronic,0.0,1,
127,28,Female,Month-to-month,58.47,292.35,No,Fiber optic,5,Yes,Bank transfer,No,58.47,292.35,New,58.470000000000006,Electronic,292.35,0,5.677951714621679
128,33,Male,Month-to-month,140.99,1127.92,Yes,No,8,Yes,Credit card,No,140.99,1127.92,New,140.99,Electronic,1127.92,0,7.028130507557106
129,41,Male,Month-to-month,115.55,5893.05,Yes,No,51,Yes,Bank transfer,No,115.55,5893.05,Long-term,115.55,Electronic,5893.05,0,8.681528969444715
130,33,Female,One year,18.0,1098.0,Yes,DSL,61,No,Electronic check,No,18.0,1098.0,Long-term,18.0,Non-Electronic,1098.0,1,7.001245622069476
131,21,Male,Month-to-month,78.55,4477.35,Yes,DSL,57,Yes,Mailed check,No,,4477.35,Long-term,78.55000000000001,Non-Electronic,4477.349999999999,1,8.40678663253618
132,40,Female,One year,65.02,1170.36,Yes,No,18,No,Electronic check,No,65.02,1170.36,Intermediate,65.02,Non-Electronic,1170.36,0,7.065066672771924
133,27,Male,Month-to-month,93.93,1127.16,Yes,DSL,12,No,Mailed check,No,93.93,1127.16,New,93.93,Non-Electronic,1127.16,1,7.027456473794424
134,45,Female,Month-to-month,38.93,1206.83,No,Fiber optic,31,No,Mailed check,No,38.93,1206.83,Long-term,38.93,Non-Electronic,1206.83,0,7.095752366107511
135,28,Female,Month-to-month,35.61,284.88,No,DSL,8,No,Electronic check,No,35.61,284.88,New,35.61,Non-Electronic,284.88,0,5.652068038969523
136,58,Female,Month-to-month,41.34,1984.32,No,Fiber optic,48,Yes,Mailed check,No,41.34,1984.32,Long-term,41.339999999999996,Non-Electronic,1984.3200000000002,0,7.593031565161513
137,30,Male,Month-to-month,44.98,1619.28,No,Fiber optic,36,No,Mailed check,No,44.98,1619.28,Long-term,44.98,Non-Electronic,1619.28,0,7.38973688498728
138,36,Female,Month-to-month,93.54,2806.2,No,Fiber optic,30,Yes,Electronic check,Yes,93.54,2806.2,Long-term,93.53999999999999,Non-Electronic,2806.2000000000003,0,7.939586533959895
139,49,Male,Month-to-month,23.66,709.8,Yes,No,30,Yes,Mailed check,No,23.66,709.8,Long-term,23.66,Non-Electronic,709.8,0,6.564983240212396
140,25,Female,Month-to-month,43.21,2506.18,Yes,DSL,58,Yes,Electronic check,No,43.21,2506.18,Long-term,43.209999999999994,Non-Electronic,2506.18,1,7.826514960490261
141,42,Female,Month-to-month,18.0,972.0,No,DSL,54,No,Bank transfer,No,18.0,972.0,Long-term,18.0,Electronic,972.0,0,6.879355804460439
142,55,Female,One year,100.25,1804.5,Yes,Fiber optic,18,No,Credit card,No,100.25,1804.5,Intermediate,100.25,Electronic,1804.5,1,7.498038824082843
143,20,Female,One year,109.49,6788.38,No,DSL,62,Yes,Credit card,No,109.49,6788.38,Long-term,109.49,Electronic,6788.38,0,8.822967605930424
144,42,Female,Month-to-month,53.55,53.55,Yes,DSL,1,Yes,Credit card,No,53.55,53.55,New,53.55,Electronic,53.55,1,3.980615796893758
145,43,Male,One year,54.57,2401.08,No,DSL,44,No,Mailed check,No,54.57,2401.08,Long-term,54.57,Non-Electronic,2401.08,0,7.783673915116402
146,49,Male,One year,80.86,3396.12,Yes,DSL,42,No,Electronic check,No,80.86,3396.12,Long-term,80.86,Non-Electronic,3396.12,1,8.130388882495993
147,25,Male,One year,116.61,0.0,No,No,0,Yes,Credit card,No,0.0,0.0,,0.0,Electronic,0.0,0,
148,24,Female,Month-to-month,79.3,4758.0,Yes,Fiber optic,60,No,Mailed check,No,79.3,4758.0,Long-term,79.3,Non-Electronic,4758.0,1,8.467582690862903
149,46,Female,Month-to-month,40.59,81.18,Yes,Fiber optic,2,Yes,Mailed check,No,40.59,81.18,New,40.59,Non-Electronic,81.18,1,4.396668911410751
150,43,Male,One year,18.0,774.0,Yes,Fiber optic,43,No,Electronic check,No,18.0,774.0,Long-term,18.0,Non-Electronic,774.0,1,6.651571873589727
151,43,Female,Month-to-month,25.97,155.82,Yes,Fiber optic,6,Yes,Bank transfer,No,25.97,155.82,New,25.97,Electronic,155.82,1,5.048701494902712
152,44,Female,Two year,67.56,2161.92,No,Fiber optic,32,No,Electronic check,No,67.56,2161.92,Long-term,67.56,Non-Electronic,2161.92,0,7.678751994739326
153,31,Female,Two year,42.06,,Yes,DSL,8,No,Mailed check,No,42.06,336.48,New,,Non-Electronic,336.48,1,
154,42,Male,Month-to-month,71.82,2082.78,No,DSL,29,Yes,Bank transfer,No,71.82,2082.78,Long-term,71.82000000000001,Electronic,2082.7799999999997,0,7.641458818784411
155,43,Male,Month-to-month,45.65,776.05,Yes,DSL,17,Yes,Bank transfer,No,45.65,776.05,Intermediate,45.65,Electronic,776.05,1,6.654216951097194
156,31,Male,Month-to-month,27.96,1537.8,No,No,55,Yes,Credit card,No,27.96,1537.8,Long-term,27.96,Electronic,1537.8,0,7.33810810259808
157,62,Male,Month-to-month,23.8,714.0,Yes,Fiber optic,30,Yes,Mailed check,No,23.8,714.0,Long-term,23.8,Non-Electronic,714.0,1,6.570882962339584
158,45,Male,Month-to-month,119.68,8497.28,Yes,Fiber optic,71,No,Electronic check,No,119.68,8497.28,Long-term,119.68,Non-Electronic,8497.28,1,9.047501391267483
159,25,Female,Month-to-month,96.11,5958.82,No,DSL,62,No,Electronic check,Yes,96.11,5958.82,Long-term,96.11,Non-Electronic,5958.82,0,8.692627753880284
160,47,Female,Month-to-month,125.57,6152.93,No,Fiber optic,49,No,Credit card,Yes,125.57,6152.93,Long-term,125.57000000000001,Electronic,6152.929999999999,0,8.7246836701115
161,28,Female,Month-to-month,83.9,0.0,Yes,Fiber optic,0,Yes,Mailed check,No,0.0,0.0,,0.0,Non-Electronic,0.0,1,
162,49,Female,Two year,49.95,899.1,Yes,DSL,18,No,Electronic check,No,49.95,899.1,Intermediate,49.95,Non-Electronic,899.1,1,6.801394262990727
163,53,Male,Month-to-month,111.32,7013.16,No,DSL,63,Yes,Electronic check,Yes,111.32,7013.16,Long-term,111.32,Non-Electronic,7013.16,0,8.855543663049223
164,30,Male,Two year,63.84,3319.68,Yes,No,52,No,Electronic check,No,63.84,3319.68,Long-term,63.839999999999996,Non-Electronic,3319.6800000000003,0,8.107623671722981
165,51,Female,Two year,72.73,363.65,Yes,Fiber optic,5,No,Bank transfer,No,72.73,363.65,New,72.72999999999999,Electronic,363.65000000000003,1,5.8961918666005495
166,44,Male,Month-to-month,63.5,1016.0,Yes,DSL,16,Yes,Bank transfer,No,63.5,1016.0,Intermediate,63.5,Electronic,1016.0,1,6.923628628138427
167,49,Female,One year,18.0,810.0,Yes,DSL,45,No,Credit card,No,18.0,810.0,Long-term,18.0,Electronic,810.0,1,6.697034247666484
